ROWID,UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL
60,10236803,104754,1047,Troy University-Dothan Campus,Dothan,AL,http://www.troy.edu/locations/dothan-campus.html
61,10236808,104700,1047,Troy University-eTROY,Troy,AL,http://www.troy.edu/etroy/online-learning.html
62,10236809,104700,1047,Troy University-Global Campus,Troy,AL,https://s2.graphiq.com/sites/default/files/10/media/images/t2/New_Beginning_College_of_Cosmetology_1384436.png
63,102377,105000,1050,Tuskegee University,Tuskegee,AL,http://www.wallace.edu/images/ftr_logo.jpg
64,102395,2170600,21706,United States Sports Academy,Daphne,AL,http://www.sports-logos-screensavers.com/user/Alabama_AM_Bulldogs01.jpg
65,102429,573300,5733,Bevill State Community College,Jasper,AL,http://www.recruit757.com/wp-content/uploads/2014/12/UAB-Logo.gif
66,102553,1146200,11462,University of Alaska Anchorage,Anchorage,AK,https://upload.wikimedia.org/wikipedia/en/1/11/Amridge_University_seal.png
67,102580,884300,8843,Alaska Bible College,Palmer,AK,https://upload.wikimedia.org/wikipedia/commons/5/59/UAHuntsville_logo.png
68,102614,106300,1063,University of Alaska Fairbanks,Fairbanks,AK,http://1.bp.blogspot.com/_aXwvjOCyM24/Sb2PMargUlI/AAAAAAAAMBw/IqGUk1ShXgs/s320/asu-logo.gif
69,102632,106500,1065,University of Alaska Southeast,Juneau,AK,http://visualid.ua.edu/download/A_Square_Logo_4c.jpg
70,102669,106100,1061,Alaska Pacific University,Anchorage,AK,http://static.wixstatic.com/media/004d1d_c8bfe327cbd84b758ff78d8dc6c24573.gif
71,102711,3160300,31603,AVTEC-Alaska s Institute of Technology,Seward,AK,http://www.athens.edu/wp-content/uploads/2015/03/ASU_MASTERLOGO_BLU_V_3.png
